# TUM trajectory generated in Habitat coordinates (Y-up)
# Frames: 100, FPS: 30
# timestamp tx ty tz qx qy qz qw
1.433333 3.298113 1.800000 0.838130 -0.049052 0.924998 0.130385 0.353515
1.466667 3.249779 1.800000 0.884326 -0.048363 0.930616 0.135193 0.336657
1.500000 3.203242 1.800000 0.932496 -0.047657 0.935918 0.139955 0.319686
1.533333 3.158015 1.800000 0.981972 -0.052043 0.932522 0.148115 0.325202
1.566667 3.113701 1.800000 1.032306 -0.056422 0.929007 0.156256 0.330676
1.600000 3.069991 1.800000 1.083182 -0.060795 0.925373 0.164377 0.336108
1.633333 3.026626 1.800000 1.134361 -0.065159 0.921621 0.172477 0.341497
1.666667 2.983374 1.800000 1.185639 -0.069516 0.917752 0.180555 0.346842
1.700000 2.940009 1.800000 1.236818 -0.093541 0.886142 0.187447 0.413360
1.733333 2.896299 1.800000 1.287694 -0.117000 0.849172 0.193206 0.477377
1.766667 2.851985 1.800000 1.338028 -0.139752 0.807066 0.197797 0.538507
1.800000 2.806757 1.800000 1.387504 -0.161659 0.760079 0.201190 0.596380
1.833333 2.760221 1.800000 1.435674 -0.182587 0.708494 0.203368 0.650646
1.866667 2.711886 1.800000 1.481870 -0.192917 0.605639 0.174940 0.751918
1.900000 2.661177 1.800000 1.525016 -0.199050 0.489610 0.142707 0.836837
1.933333 2.607502 1.800000 1.563243 -0.200855 0.362933 0.107370 0.903553
1.966667 2.550542 1.800000 1.593401 -0.198290 0.228362 0.069698 0.950618
2.000000 2.490929 1.800000 1.611112 -0.191413 0.088823 0.030510 0.977006
2.033333 2.430975 1.800000 1.612103 -0.179746 0.024672 0.018576 0.983228
2.066667 2.374549 1.800000 1.594338 -0.167282 -0.039589 0.006561 0.985092
2.100000 2.325659 1.800000 1.559199 -0.154077 -0.103674 -0.005484 0.982589
2.133333 2.286711 1.800000 1.510652 -0.140189 -0.167300 -0.017504 0.975731
2.166667 2.257807 1.800000 1.453320 -0.125679 -0.230184 -0.029447 0.964548
2.200000 2.237395 1.800000 1.390985 -0.123536 -0.276245 -0.035317 0.952460
2.233333 2.223536 1.800000 1.326102 -0.121108 -0.321668 -0.041105 0.938175
2.266667 2.214815 1.800000 1.260010 -0.118400 -0.366350 -0.046799 0.921726
2.300000 2.210547 1.800000 1.193383 -0.115420 -0.410186 -0.052384 0.903151
2.333333 2.210535 1.800000 1.126604 -0.112173 -0.453077 -0.057849 0.882492
2.366667 2.214795 1.800000 1.059978 -0.106784 -0.514067 -0.064403 0.848637
2.400000 2.223511 1.800000 0.993878 -0.100869 -0.572518 -0.070640 0.810592
2.433333 2.237317 1.800000 0.928976 -0.094455 -0.628142 -0.076528 0.768543
2.466667 2.257661 1.800000 0.866657 -0.087575 -0.680665 -0.082038 0.722700
2.500000 2.286608 1.800000 0.809441 -0.080262 -0.729827 -0.087142 0.673288
2.533333 2.325744 1.800000 0.761054 -0.076173 -0.763751 -0.092534 0.634287
2.566667 2.374824 1.800000 0.725903 -0.071877 -0.795600 -0.097673 0.593561
2.600000 2.431292 1.800000 0.707865 -0.067386 -0.825286 -0.102548 0.551223
2.633333 2.491100 1.800000 0.708533 -0.062711 -0.852729 -0.107143 0.507386
2.666667 2.550338 1.800000 0.726007 -0.057866 -0.877855 -0.111448 0.462170
2.700000 2.606540 1.800000 0.755691 -0.062516 -0.880778 -0.123934 0.452727
2.733333 2.658768 1.800000 0.792584 -0.067148 -0.883459 -0.136387 0.443159
2.766667 2.706896 1.800000 0.832924 -0.071763 -0.885897 -0.148801 0.433469
2.800000 2.751018 1.800000 0.874299 -0.076357 -0.888090 -0.161175 0.423660
2.833333 2.791253 1.800000 0.915096 -0.080931 -0.890040 -0.173505 0.413734
2.866667 2.827709 1.800000 0.954131 -0.099875 -0.877599 -0.199679 0.424232
2.900000 2.860453 1.800000 0.990520 -0.118689 -0.864010 -0.225592 0.434175
2.933333 2.889510 1.800000 1.023641 -0.137348 -0.849290 -0.251210 0.443549
2.966667 2.914896 1.800000 1.053083 -0.155827 -0.833458 -0.276499 0.452343
3.000000 2.936651 1.800000 1.078611 -0.174102 -0.816535 -0.301426 0.460544
3.033333 2.954861 1.800000 1.100152 -0.207081 -0.788290 -0.320037 0.483004
3.066667 2.969675 1.800000 1.117768 -0.239493 -0.757887 -0.337773 0.504142
3.100000 2.981310 1.800000 1.131651 -0.271250 -0.725411 -0.354584 0.523901
3.133333 2.990056 1.800000 1.142108 -0.302265 -0.690950 -0.370426 0.542226
3.166667 2.996270 1.800000 1.149547 -0.332452 -0.654598 -0.385253 0.559068
3.200000 3.000374 1.800000 1.154460 -0.347296 -0.637973 -0.384756 0.569507
3.233333 3.002831 1.800000 1.157403 -0.361929 -0.620962 -0.384026 0.579602
3.266667 3.004115 1.800000 1.158941 -0.376342 -0.603574 -0.383064 0.589345
3.300000 3.004636 1.800000 1.159564 -0.390528 -0.585821 -0.381869 0.598731
